Date,signal_momentum,signal_xgboost,signal_lstm
2023-05-25,0.0,0.0,-1.0
2023-05-26,0.0,0.0,-1.0
2023-05-30,0.0,0.0,-1.0
2023-05-31,0.0,0.0,-1.0
2023-06-01,0.0,0.0,-1.0
2023-06-02,0.0,0.0,-1.0
2023-06-05,0.0,0.0,-1.0
2023-06-06,0.0,0.0,-1.0
2023-06-07,0.0,0.0,-1.0
2023-06-08,0.0,0.0,-1.0
2023-06-09,0.0,0.0,-1.0
2023-06-12,0.0,0.0,-1.0
2023-06-13,0.0,0.0,-1.0
2023-06-14,0.0,0.0,-1.0
2023-06-15,0.0,0.0,-1.0
2023-06-16,0.0,0.0,-1.0
2023-06-20,0.0,0.0,-1.0
2023-06-21,0.0,0.0,-1.0
2023-06-22,0.0,0.0,-1.0
2023-06-23,1.0,0.0,-1.0
2023-06-26,1.0,-0.97120714,-1.0
2023-06-27,1.0,-1.0,-1.0
2023-06-28,1.0,-1.0,-1.0
2023-06-29,-1.0,-1.0,-1.0
2023-06-30,0.0,-1.0,-1.0
2023-07-03,0.0,-1.0,-1.0
2023-07-05,0.0,-1.0,-1.0
2023-07-06,0.0,-1.0,-1.0
2023-07-07,0.0,-1.0,-1.0
2023-07-10,0.0,-1.0,-1.0
2023-07-11,1.0,-1.0,-1.0
2023-07-12,1.0,-1.0,-1.0
2023-07-13,1.0,-1.0,-1.0
2023-07-14,1.0,-1.0,-1.0
2023-07-17,1.0,-1.0,-1.0
2023-07-18,1.0,-1.0,-1.0
2023-07-19,1.0,-1.0,-1.0
2023-07-20,1.0,-1.0,-1.0
2023-07-21,1.0,-1.0,-1.0
2023-07-24,1.0,-1.0,-1.0
2023-07-25,1.0,-1.0,-1.0
2023-07-26,1.0,-1.0,-1.0
2023-07-27,0.0,-1.0,-1.0
2023-07-28,1.0,-1.0,-1.0
2023-07-31,1.0,-1.0,-1.0
2023-08-01,0.0,-1.0,-1.0
2023-08-02,-1.0,-1.0,-1.0
2023-08-03,-1.0,-1.0,-1.0
2023-08-04,0.0,-1.0,-1.0
2023-08-07,0.0,-1.0,-1.0
2023-08-08,-1.0,-1.0,-1.0
2023-08-09,-1.0,-0.97167194,-1.0
2023-08-10,-1.0,-0.9433692,-1.0
2023-08-11,-1.0,-0.9704877,-1.0
2023-08-14,-1.0,-1.0,-1.0
2023-08-15,-1.0,-1.0,-1.0
2023-08-16,-1.0,-1.0,-1.0
2023-08-17,-1.0,-1.0,-1.0
2023-08-18,-1.0,-1.0,-1.0
2023-08-21,1.0,-1.0,-1.0
2023-08-22,1.0,-1.0,0.8602191
2023-08-23,1.0,-1.0,0.76124775
2023-08-24,1.0,-1.0,0.5855102
2023-08-25,1.0,-1.0,0.2908231
2023-08-28,1.0,-1.0,0.120080404
2023-08-29,1.0,-1.0,-0.03592896
2023-08-30,1.0,-1.0,-0.37432486
2023-08-31,1.0,-1.0,-0.5944937
2023-09-01,1.0,-1.0,-0.67929244
2023-09-05,1.0,-1.0,-0.67771417
2023-09-06,1.0,-1.0,-0.6556017
2023-09-07,0.0,-1.0,-0.55352795
